"Metabolite","Lambda"
"Metabolite1",0.999804349958948
"Metabolite2",1.0089874317186
"Metabolite3",1.00552759929097
"Metabolite4",1.00456380338585
"Metabolite5",1.13506146566616
"Metabolite6",0.990732904476337
"Metabolite7",1.31547917510849
"Metabolite8",1.00692099624571
"Metabolite9",1.28779790824454
"Metabolite10",1.04447445025549
"Metabolite11",1.04723248963731
"Metabolite12",0.995854097569557
"Metabolite13",0.991504483872165
"Metabolite14",1.2936885515362
"Metabolite15",0.974388626916775
"Metabolite16",1.01208711188509
"Metabolite17",0.985072467459324
"Metabolite18",1.01785307662964
"Metabolite19",1.02302565024654
"Metabolite20",0.984262632165377
"PC1",7.08451222617459e-27
